Pieturas nosaukums,Pieturas kods,Vienotais kods,Platums,Garums,Ce?a puse,Ce?a numurs,Iela,Novads,Pagasts,Ciemats
Sati?u pagrieziens,6662,5218,56.7770371,22.5397842,Lab?,V1430,,Broc?nu novads,Gai?u pagasts,
Gai?i,6663,5219,56.7716762,22.5352656,Lab?,V1430,,Broc?nu novads,Gai?u pagasts,Gai?i
Gai?i,6664,5219,56.7716774,22.5352367,Kreis?,V1430,,Broc?nu novads,Gai?u pagasts,Gai?i
Spundi?as,6665,5221,56.7430311,22.5120958,Lab?,V1430,,Broc?nu novads,Gai?u pagasts,
Stap?ni,6667,5222,56.7346693,22.5071235,Lab?,V1430,,Broc?nu novads,Gai?u pagasts,
Priednieki,6668,5223,56.7196549,22.5009477,Lab?,V1430,,Saldus novads,Saldus pagasts,
Priednieki,6669,5223,56.7196254,22.5008638,Kreis?,V1430,,Saldus novads,Saldus pagasts,
Bir?ni,6670,5224,56.7006777,22.5052919,Lab?,V1430,,Saldus novads,Saldus pagasts,
Bir?ni,6671,5224,56.7006707,22.5052591,Kreis?,V1430,,Saldus novads,Saldus pagasts,
Lagzdi?as,6672,5225,56.6867989,22.5046584,Lab?,V1430,,Saldus novads,Saldus pagasts,
Lagzdi?as,6673,5225,56.6878116,22.5048611,Kreis?,V1430,,Saldus novads,Saldus pagasts,
Atspuka,6674,5226,56.6146931,26.8185977,Kreis?,A12,,Vi??nu novads,Dekš?res pagasts,
Atspuka,6675,5226,56.6144733,26.8193024,Lab?,A12,,Vi??nu novads,Dekš?res pagasts,
Salmi?i,6676,5227,56.6092787,26.8407908,Kreis?,A12,,Vi??nu novads,Dekš?res pagasts,
Salmi?i,6677,5227,56.6089002,26.8417733,Lab?,A12,,Vi??nu novads,Dekš?res pagasts,
Kristce?i,6678,5228,56.5905915,26.8822918,Kreis?,A12,,Vi??nu novads,Vi??nu pagasts,
Kristce?i,6679,5228,56.5895836,26.8830648,Lab?,A12,,Vi??nu novads,Vi??nu pagasts,
Masa?ski,6680,5229,56.5799517,26.8962844,Kreis?,A12,,Vi??nu novads,Vi??nu pagasts,
Masa?ski,6681,5229,56.5781641,26.899517,Lab?,A12,,Vi??nu novads,Vi??nu pagasts,
T?vi?i,6682,5230,56.5647675,26.957123,Kreis?,A12,,Vi??nu novads,Vi??nu pagasts,
T?vi?i,6683,5230,56.5647529,26.9592487,Lab?,A12,,Vi??nu novads,Vi??nu pagasts,
Muku?i,6684,5232,56.5642593,26.9959607,Kreis?,A12,,Vi??nu novads,Vi??nu pagasts,
Muku?i,6685,5232,56.5639115,26.9980357,Lab?,A12,,Vi??nu novads,Vi??nu pagasts,
Komultini,6686,5233,56.5615168,27.0257917,Kreis?,A12,,Vi??nu novads,Vi??nu pagasts,
Komultini,6687,5233,56.5610914,27.0279937,Lab?,A12,,Vi??nu novads,Vi??nu pagasts,
Subinaite,6688,5234,56.5602329,27.0571157,Kreis?,A12,,R?zeknes novads,Sakstagala pagasts,
Subinaite,6689,5234,56.5600985,27.0591395,Lab?,A12,,R?zeknes novads,Sakstagala pagasts,
Krauperi,6690,5235,56.550956,27.0974419,Lab?,A12,,R?zeknes novads,Sakstagala pagasts,
Krauperi,6691,5235,56.5500308,27.0995738,Kreis?,A12,,R?zeknes novads,Sakstagala pagasts,
Sakstagals,6692,5236,56.541362,27.1455075,Kreis?,A12,,R?zeknes novads,Sakstagala pagasts,Ciukori
Sakstagals,6693,5236,56.5407472,27.1473877,Lab?,A12,,R?zeknes novads,Sakstagala pagasts,
Stir?ni,6694,5237,56.5322828,27.1803075,Kreis?,A12,,R?zeknes novads,Sakstagala pagasts,
Stir?ni,6695,5237,56.5318827,27.1827513,Lab?,A12,,R?zeknes novads,Sakstagala pagasts,
Voronova,6696,5238,56.5337589,27.2265682,Kreis?,A12,,R?zeknes novads,Ozolmuižas pagasts,
Voronova,6697,5238,56.5337412,27.2288973,Lab?,A12,,R?zeknes novads,Ozolmuižas pagasts,
Spundž?ni,6698,5239,56.530701,27.2701721,Kreis?,A12,,R?zeknes novads,Ozolmuižas pagasts,
Greivu?i,6699,5240,56.540222,27.2992787,Kreis?,A12,,R?zeknes novads,Audri?u pagasts,
Greivu?i,6700,5240,56.5410157,27.3010958,Lab?,A12,,R?zeknes novads,V?r?mu pagasts,
Jurki,6701,5241,56.5474997,27.3138022,Lab?,A12,,R?zeknes novads,V?r?mu pagasts,
