Pieturas nosaukums,Pieturas kods,Vienotais kods,Platums,Garums,Ce?a puse,Ce?a numurs,Iela,Novads,Pagasts,Ciemats
Ber?i,8401,6474,56.9990082,24.2735631,Lab?,A2,A2 472-476,R?ga,,
Slokas iela,8405,6508,56.946535,24.075319,Lab?,,Kr. Valdem?ra iela,R?ga,,
Slokas iela,8406,6508,56.946454,24.075927,Kreis?,,Kr. Valdem?ra iela,R?ga,,
T?re?i,8407,6511,56.84144,23.58604,Lab?,A9,,Jelgavas novads,Valgundes pagasts,
T?re?i,8408,6511,56.84133,23.5869,Kreis?,P99,,Jelgavas novads,Valgundes pagasts,
Jaunb?ve,8430,6549,55.881573,26.559082,Lab?,,18.novembra,Daugavpils,,
Jaunb?ve,8431,6549,55.881592,26.559388,Kreis?,,18.novembra,Daugavpils,,
Balvu stacija,8682,6804,57.1649,27.206808,Kreis?,,,Balvu novads,Balvu pils?ta,
V?rdi?i,2347,1784,56.405685,24.70197,Kreis?,V1003,,Vecumnieku novads,Kurmenes pagasts,
Apes pagrieziens,2353,1788,57.519242,26.70341,Lab?,P19,,Apes novads,Apes pagasts,
Egl?tes,2386,1838,56.403819,23.994102,Lab?,V1033,,Rund?les novads,Rund?les pagasts,
B?rzi?i,2389,1840,56.385782,23.940011,Lab?,V1033,,Rund?les novads,Svitenes pagasts,
Kupravas stacija,9147,7182,57.239759,27.505622,Lab?,P42,,Vi?akas novads,Kupravas pagasts,
Kupravas stacija,9148,7182,57.240417,27.504922,Kreis?,P42,,Vi?akas novads,Kupravas pagasts,
Madonas iela,9151,7184,56.51713,25.86046,Lab?,,Madonas iela,J?kabpils,,
Melnb?rži,2591,2006,57.593386,24.515295,Lab?,V138,,Limbažu novads,Vi??enes pagasts,
Mežvidi,9212,7229,56.64954,22.466177,Lab?,V1180,,Saldus novads,Novadnieku pagasts,
Druvas,12886,8183,56.7447044,25.6456864,Kreis?,,,P?avi?u novads,Vietalvas pagasts,
Druvas,12887,8183,56.7448527,25.6453495,Lab?,,,P?avi?u novads,Vietalvas pagasts,
Mai?upsalas,10029,8188,56.623493,25.773702,Lab?,,Daugavas iela,P?avi?u novads,P?avi?u pils?ta,
Mai?upsalas,10030,8188,56.623438,25.77364,Kreis?,,Daugavas iela,P?avi?u novads,P?avi?u pils?ta,
???i,10031,8189,56.642073,25.805385,Lab?,V924,,P?avi?u novads,Aiviekstes pagasts,
???i,10032,8189,56.642085,25.805187,Kreis?,V924,,P?avi?u novads,Aiviekstes pagasts,
Do?naja,10037,8205,56.007857,26.30166,Lab?,V719,,Il?kstes novads,Pilskalnes pagasts,
Birznieki,10053,8231,56.448382,24.437068,Lab?,V1016,,Bauskas novads,Vecsaules pagasts,
Birznieki,10054,8231,56.446457,24.438663,Kreis?,V1016,,Bauskas novads,Vecsaules pagasts,
Brukna,10056,8232,56.466422,24.428985,Kreis?,V1017,,Bauskas novads,D?vi?u pagasts,
Bruknas muiža,10057,8233,56.46785,24.44785,Lab?,V1017,,Bauskas novads,D?vi?u pagasts,
Bruknas muiža,10058,8233,56.468252,24.443017,Kreis?,V1017,,Bauskas novads,D?vi?u pagasts,
Silamala,8754,6854,57.106755,27.168397,Kreis?,V466,,Balvu novads,Balvu pagasts,
Alm?le,9508,7477,56.925483,21.630977,Kreis?,V1264,,Kuld?gas rajons,Alsungas novads,
Litiniš?i,9518,7486,56.15727,26.612298,Kreis?,P58,,Prei?u novads,Pel??u pagasts,
Janova,9519,7487,56.148933,26.66066,Kreis?,P58,,Prei?u novads,Pel??u pagasts,
Butleri,9520,7488,56.158605,26.702487,Kreis?,P58,,Prei?u novads,Pel??u pagasts,
Selga,5318,4184,57.359403,21.563245,Lab?,P108,,Ventspils novads,V?rves pagasts,
VEF,9598,7570,56.971017,24.159339,Kreis?,,Br?v?bas iela,R?ga,,
Teika ,9599,7571,56.9794634,24.1874923,Lab?,,Br?v?bas gatve,R?ga,,
Teika ,9600,7571,56.977843,24.186283,Kreis?,,Lielv?rdes iela,R?ga,,
Jugla ,9601,7572,56.9891412,24.2390047,Lab?,,Br?v?bas gatve,R?ga,,
Jugla ,9602,7572,56.989989,24.242699,Kreis?,,Br?v?bas gatve,R?ga,,
?stere,9605,7586,57.614228,24.734795,Kreis?,V115,,Limbažu novads,Vi??enes pagasts,
Avotkalni,9609,7589,57.715418,24.448208,Kreis?,V143,,Salacgr?vas novads,Salacgr?vas pagasts,
Lielauce,8919,6995,56.5152591,22.8798027,Lab?,V1128,,Auces novads,Lielauces pagasts,
Pan?tas,9658,7654,57.350053,24.916125,Kreis?,V128,,P?rgaujas novads,Straupes pagasts,
Diogi,9679,7672,56.578783,27.334169,Lab?,V586,,R?zeknes novads,V?r?mu pagasts,
Livža,9695,7690,56.564678,27.14124,Lab?,V552,,R?zeknes novads,Kantinieku pagasts,
Aizupe,9696,7692,56.9357141,22.583469,Lab?,P121,,Kandavas novads,V?nes pagasts,
Liepi?as,9701,7695,56.796533,23.005687,Lab?,P104,,Jaunpils novads,Jaunpils pagasts,
Liepi?as,9702,7695,56.740012,22.968645,Kreis?,P104,,Jaunpils novads,Jaunpils pagasts,
Gundegas,9705,7697,56.782947,22.934262,Lab?,,,Jaunpils novads,Jaunpils pagasts,
Š??nis,9707,7698,56.782648,22.984875,Lab?,V1459,,Jaunpils novads,Jaunpils pagasts,
Uškumi,4696,3536,56.936674,22.662488,Kreis?,P121,,Kandavas novads,V?nes pagasts,
Ga?as kombin?ts,9543,7505,56.685138,22.463992,Kreis?,,Kuld?gas iela,Saldus novads,Saldus pils?ta,
Virši,9560,7517,56.469435,22.099772,Kreis?,V1168,,Saldus novads,N?grandes pagasts,
P?ces,9569,7530,56.902878,21.78719,Lab?,,,Kuld?gas novads,Kurm?les pagasts,
P?ces,9570,7530,56.904288,21.784457,Kreis?,,,Kuld?gas novads,Kurm?les pagasts,
Tautas nams ,9572,7536,56.897867,21.795672,Lab?,V1283,,Kuld?gas novads,Kurm?les pagasts,
Nurmiži,9617,7593,57.19987,24.94742,Kreis?,V83,,Siguldas novads,Siguldas pagasts,
Vien?bas iela ,9618,7596,56.96524,21.920725,Kreis?,,Plan?cas iela,Kuld?gas novads,Kuld?gas pils?ta,
Puri?i,9622,7616,57.6175667,25.6218963,Lab?,V83,,Krimuldas novads,L?durgas pagasts,
L?dezers,9625,7618,57.421243,24.706969,Kreis?,V129,,Limbažu novads,Limbažu pagasts,
L?bieši,10930,1711,56.27297,24.13327,Kreis?,V1027,,Bauskas novads,?sl?ces pagasts,
Miera iela,12443,9417,57.1824727,26.7481987,Kreis?,,Miera iela 25,Gulbenes novads,Gulbenes pils?ta,
Vanagi,9641,7641,57.018257,25.045412,Lab?,V59,,R?gas rajons,M?lpils novads,
Veikals,12445,9418,57.1856103,26.7477309,Kreis?,,Zvaigž?u iela 19A,Gulbenes novads,Gulbenes pils?ta,
Turge?eva iela,10319,8555,56.943438,24.121358,A/V,,Turge?eva iela,R?ga,,
Apg?de,12454,9421,57.1804023,26.7402788,Lab?,P27,P27 84,Gulbenes novads,Gulbenes pils?ta,
Bundu?i,12479,9488,56.6523207,25.6335736,Kreis?,V943,,P?avi?u novads,Aiviekstes pagasts,
Sil?ni,12678,7579,57.2758862,24.9908741,Kreis?,V127,,P?rgaujas novads,Straupes pagasts,
Liesmas,12679,7581,,,Kreis?,,,Raunas novads,Raunas pagasts,
J??askola,12680,7582,,,Kreis?,,,Raunas novads,Raunas pagasts,
Rudi?i,10495,8785,56.77184,25.11996,Lab?,,,Ogres novads,Madlienas pagasts,
Daugavpils  stacija,10504,8799,55.874784,26.527277,A/V,,Stacijas iela,Daugavpils,,
Zem?tes skola,9713,7702,56.940615,22.79045,Lab?,P121,,Kandavas novads,Zem?tes pagasts,
Brodi,10563,8853,56.469187,25.874535,Lab?,P.c.,,J?kabpils novads,?be?u pagasts,
Notra,10565,8854,56.517733,26.925215,Lab?,V595,,Vi??nu novads,Vi??nu pagasts,
Aleksandropole,10567,8855,56.489558,26.927123,Lab?,V595,,Vi??nu novads,Vi??nu pagasts,
Silava,10570,8859,56.8699343,24.3474002,Kreis?,,Meža iela ,Salaspils novads,Salaspils pils?ta,
?sl?ces tilts,10591,8890,56.476907,23.992,Kreis?,b/n,,Rund?les novads,Viesturu pagasts,
Za?umu vasarn?cas,10594,8895,55.96965,26.633827,Lab?,P.c.,,Daugavpils novads,Naujenes pagasts,
Naujenes pagrieziens,9808,7801,55.929392,26.744743,Kreis?,A6,,Daugavpils novads,Naujenes pagasts,
Birža,2120,1612,56.089727,27.314742,Lab?,V610,,Dagdas novads,Andrupenes pagasts,
Biržas pagrieziens,2123,1613,56.087507,27.27209,Kreis?,V611,,Dagdas novads,Andrupenes pagasts,
Nami?i,9438,7423,56.716802,22.392198,Lab?,P108,,Saldus novads,Saldus pagasts,
Nami?i,9439,7423,56.718235,22.389873,Kreis?,P108,,Saldus novads,Saldus pagasts,
L?v?nu stacija,9442,7425,56.351448,26.179075,A/V,,,L?v?nu novads,L?v?nu pils?ta,
Kalpaka iela,9473,7446,57.179633,26.761003,Lab?,,Dzelzce?a iela,Gulbenes novads,Gulbenes pils?ta,
Kalpaka iela,9474,7446,57.179585,26.761163,Kreis?,,Dzelzce?a iela,Gulbenes novads,Gulbenes pils?ta,
Dzelzce?a iela,9476,7447,57.1768965,26.7564577,Kreis?,,R?gas iela ,Gulbenes novads,Gulbenes pils?ta,
Santa,9477,7448,57.1724582,26.7575301,Lab?,,R?gas iela ,Gulbenes novads,Gulbenes pils?ta,
Jaktskalni?š,8765,6861,57.005746,26.876657,Kreis?,V842,,Rug?ju novads,Rug?ju pagasts,
Meža iela,11130,9404,56.968515,23.1589,Lab?,,Meža iela,Tukuma novads,Tukuma pils?ta,
Dreima?i,10941,9253,57.8114672,25.0310544,Kreis?,V164,,Burtnieku novads,Vecates pagasts,
Zakovš?ina,10947,9257,56.112442,27.035466,Kreis?,P62,,Aglonas novads,Aglonas pagasts,
Jaunauces pagrieziens,10530,8818,56.376788,22.730617,Kreis?,V1175,,Saldus novads,Jaunauces pagasts,
Podozerci,10531,8819,55.98509,27.572673,Lab?,V626,,Kr?slavas novads,Robežnieku pagasts,
?um?ni,10533,8820,55.938122,27.535867,Lab?,P.c.,,Kr?slavas novads,Robežnieku pagasts,
Dzirnavas,1991,1536,56.426898,24.019342,Lab?,P103,,Rund?les novads,Rund?les pagasts,
Eglaine,9159,7189,57.50612,22.05773,Lab?,P77,,Ventspils novads,Ances pagasts,
Robežnieki,9162,7190,57.506465,22.02042,Kreis?,V1311,,Ventspils novads,Ances pagasts,
Jaunzemes,9164,7191,57.486874,22.016208,Kreis?,V1311,,Ventspils novads,Ances pagasts,
HES pagrieziens,9217,7233,56.572782,25.227612,Kreis?,P76,,Jaunjelgavas novads,S?renes pagasts,
Elstes krustojums,9218,7234,57.0943411,26.6859483,Lab?,V424,,Gulbenes novads,Daukstu pagasts,
Annenieki,9223,7238,56.375783,21.796417,Kreis?,V1213,,Vai?odes novads,Vai?odes pagasts,
Rogas,9224,7240,56.345115,21.76599,Kreis?,V1213,,Vai?odes novads,Vai?odes pagasts,
Pienotava,9225,7241,56.423388,21.892533,Kreis?,,,Vai?odes novads,Vai?odes pagasts,
Uzvara,9238,7250,56.315138,24.255145,Lab?,V1025,,Bauskas novads,Gail?šu pagasts,
Muižnieki,9244,7254,56.804472,23.190903,Lab?,V1452,,Tukuma novads,Lestenes pagasts,
Kl?vi,9249,7261,56.359067,23.81394,Kreis?,V1072,,Jelgavas novads,Sesavas pagasts,
Blauma?a iela,9480,7449,57.16884,26.757563,Kreis?,V424,,Gulbenes novads,Stradu pagasts,
Gulbenes autobuss,9482,7450,57.1636578,26.7572943,Kreis?,,Br?v?bas iela,Gulbenes novads,Gulbenes pils?ta,
Lepeste,3223,2436,56.686892,27.553615,Lab?,V499,,K?rsavas novads,Mežvidu pagasts,
Lipiniš?i,3829,2925,55.947963,26.89018,Kreis?,V637,,Daugavpils novads,Bi?ernieku pagasts,
Veterin?r? p?rvalde,9185,7209,56.41769,24.19778,Lab?,,M?meles iela,Bauskas novads,Bauskas pils?ta,
Krutova,9195,7218,57.073965,27.628638,Lab?,P45,,Vi?akas novads,Š?ilb?nu pagasts,
Krutova,9196,7218,57.074203,27.628828,Kreis?,P45,,Vi?akas novads,Š?ilb?nu pagasts,
Poizeniški,9198,7219,56.222051,26.543064,Kreis?,V751,,V?rkavas novads,V?rkavas pagasts,
Elvi,9208,7227,56.9741045,21.9571691,Lab?,,Piltenes iela,Kuld?gas novads,Kuld?gas pils?ta,
Aptieka,9953,8006,56.490473,21.006532,Kreis?,,Ventas iela,Liep?ja,,
Saul?tes,9959,8016,56.897885,22.885552,Lab?,V1461,,Kandavas novads,Zem?tes pagasts,
Saul?tes,9960,8016,56.897283,22.886287,Kreis?,V1461,,Kandavas novads,Zem?tes pagasts,
Silagals 1,11390,8141,56.6571093,26.4969993,Kreis?,,,Varak??nu novads,Murmastienes pagasts,
Br?v?bas,973,786,56.7003,22.985042,Lab?,P104,,Dobeles novads,Bikstu pagasts,
Bikstu stacija,976,787,56.691228,22.976518,Kreis?,P104,,Dobeles novads,Bikstu pagasts,
Putni,987,798,56.484832,22.869185,Kreis?,P104,,Auces novads,Lielauces pagasts,
Mežniec?ba,3140,2380,57.341223,26.542397,Lab?,V371,,Gulbenes novads,Lejasciema pagasts,
Silaj??i,3462,2614,56.750942,25.614023,Lab?,P79,,Kokneses novads,Iršu pagasts,
Degtjarka,3860,2957,55.793952,26.434113,Kreis?,V695,,Daugavpils novads,Medumu pagasts,
P?ternieki,3879,2972,56.76355,23.931755,Lab?,V28,,Olaines novads,Olaines pagasts,
Priednieki,3885,2977,56.008133,26.485258,Lab?,V679,,Daugavpils novads,Vaboles pagasts,
Gr?veri,1260,1038,56.060367,27.136763,Lab?,P62,,Aglonas novads,Gr?veru pagasts,
Ro?e?i,1307,1069,56.057732,27.160368,Kreis?,V610,,Aglonas novads,Gr?veru pagasts,
Stankevi?i,1316,1075,56.104378,27.323627,Kreis?,V613,,Dagdas novads,Andrupenes pagasts,
Dabra?ina,1340,1090,56.139308,27.729043,Kreis?,V618,,Dagdas novads,Svari?u pagasts,
Dridzas,1399,1140,56.003425,27.378647,Lab?,V632,,Kr?slavas novads,Skaistas pagasts,
Dvoriš?e,1405,1144,55.85637,27.163008,Kreis?,V633,,Kr?slavas novads,Kr?slavas pagasts,
Mežaine,1021,822,56.78777,21.247391,Kreis?,P111,,P?vilostas novads,Sakas pagasts,
L?duma TN,1050,838,56.3820754,24.1745568,Lab?,,Liepu iela 1,Bauskas novads,?sl?ces pagasts,R?tausmas
Andrupenes skola,1353,1100,56.189257,27.39747,Lab?,,Skolas iela,Dagdas novads,Andrupenes pagasts,
Br?ži,12646,7302,57.2587694,25.9688397,Kreis?,,,Raunas novads,Drustu pagasts,
Kraujas,10388,8627,56.126932,25.787682,Lab?,V810,,Akn?stes novads,G?rsenes pagasts,
Geid?ni,10394,8631,56.291078,26.15204,Lab?,P.c.,,J?kabpils novads,Zasas pagasts,
Sus?jas muiža,10395,8640,56.153425,25.809547,Kreis?,V810,,Akn?stes novads,Akn?stes pagasts,
Silenes skola,10397,8645,55.751818,26.780092,Lab?,,Skaista iela,Daugavpils novads,Skrudalienas pagasts,
Silenes skola,10398,8645,55.751382,26.7804,Kreis?,,Skaista iela,Daugavpils novads,Skrudalienas pagasts,
Ventas iela,10407,8657,56.506125,25.882243,Lab?,,Ventas iela,J?kabpils,,
Ventas iela,10408,8657,56.506428,25.8818,Kreis?,,Ventas iela,J?kabpils,,
Sarkandaugava,10429,8687,56.994759,24.126583,Lab?,,Tilta iela,R?ga,,
Za?umi,10430,8689,55.990122,26.626252,Lab?,P.c.,,Daugavpils novads,Ma?inovas pagasts,
Tokari,10434,8691,56.04277,26.669737,Lab?,V681,,Daugavpils novads,Dubnas pagasts,
B?ben?ni ,10442,8700,56.371415,25.491163,Lab?,P.c.,,Vies?tes novads,Vies?tes pagasts,
J?n?tis,12795,9423,57.4204486,25.8905868,Kreis?,,R?gas iela 5,Smiltenes novads,Smiltenes pils?ta,
Avotkalni,12798,7432,57.2044309,25.9071905,Lab?,V303,,Raunas novads,Drustu pagasts,
Zamšoviki,914,740,56.15424,27.969907,Kreis?,P52,,Dagdas novads,Š?aunes pagasts,
Mazgail?ši,1735,1338,56.461748,23.059957,Kreis?,V1113,,Auces novads,B?nes pagasts,
Dai?rade,9483,7451,57.160303,26.759683,Kreis?,V424,,Gulbenes novads,Gulbenes pils?ta,
Z/A ciemats  ( Miera iela),2289,1742,56.8637201,24.3678132,A/V,,Miera iela,Salaspils novads,Salaspils pils?ta,
Seces pagrieziens,3298,2499,56.488108,25.392688,Kreis?,V956,,Jaunjelgavas novads,Sun?kstes pagasts,
T?rumnieki,10352,8596,56.715443,26.929442,Lab?,V573,,R?zeknes novads,Nag?u pagasts,
?od?ni,10355,8597,56.669115,26.889872,Kreis?,,Pašvald?bs ce?š,R?zeknes novads,Nag?u pagasts,
Cakuli,10362,8601,56.630848,26.786252,Kreis?,V592,,Vi??nu novads,Dekš?res pagasts,
Mežaraupi,10376,8617,56.207038,25.736897,Kreis?,V779,,Akn?stes novads,Akn?stes pagasts,
Skuš?i,10379,8620,56.189082,25.716223,Lab?,,,Akn?stes novads,Akn?stes pagasts,
B?rnud?rzs Bit?te,10380,8621,56.163418,25.737947,Lab?,,Skolas iela,Akn?stes novads,Akn?stes pils?ta,
Skanstinieki,10384,8624,56.618017,25.755998,Lab?,,Daugavas iela,P?avi?u novads,P?avi?u pils?ta,
Sventes pagrieziens,11042,9315,55.947732,26.468886,Lab?,A6,,Daugavpils novads,Sventes pagasts,
Skola,2192,1665,56.600553,24.223056,Lab?,P92,,Bauskas rajons,Iecavas novads,
Krievga?i,2268,1708,56.275948,24.195395,Kreis?,V1026,,Bauskas novads,Gail?šu pagasts,
Repševas  stacija,9073,7115,57.236,27.468127,Lab?,V490,,Balvu novads,V?ksnas pagasts,
Repševas  stacija,9074,7115,57.236044,27.468181,Kreis?,V490,,Balvu novads,V?ksnas pagasts,
Beberbe?u iela,9077,7120,56.949723,23.961253,Lab?,,K?r?a Ulma?a gatve,R?ga,,
Slokas  stacija,9091,7131,56.947527,23.617396,A/V,,Satiksmes iela,J?rmala,,
Rumbas pagasts,9488,7458,56.953707,22.162817,Kreis?,P121,,Kuld?gas novads,Rumbas pagasts,
Kvinti krustojums,9490,7461,56.95161,22.281135,Kreis?,P121,,Kuld?gas novads,Kabiles pagasts,
Pamp??i,9497,7465,56.540923,22.213858,Lab?,,Ozolu iela,Saldus novads,Pamp??u pagasts,Pamp??i
Aiviekste,10197,8390,56.781373,25.010335,Lab?,V972,,Lielv?rdes novads,L?dmanes pagasts,
Re??es pagrieziens,9500,7467,56.423725,22.551013,Lab?,P96,,Saldus novads,Jaunauces pagasts,
J?teles muiža,9502,7468,56.907838,21.76972,Lab?,,,Kuld?gas novads,Kurm?les pagasts,
Pantigi,10176,8370,56.183242,27.721697,Lab?,P52,,Dagdas novads,Ezernieku pagasts,
Pantigi,10177,8370,56.183392,27.722742,Kreis?,P52,,Dagdas novads,Ezernieku pagasts,
Panova,10179,8371,56.11272,27.780108,Kreis?,V618,,Dagdas novads,Svari?u pagasts,
Ževrer?iki,10187,8375,55.924793,27.145037,Kreis?,V614,,Kr?slavas novads,Aulejas pagasts,
Avotu iela,10190,8378,56.732123,24.80976,Lab?,,Avotu iela,Lielv?rdes novads,Lielv?rdes pils?ta,
Tabakkalns,10194,8382,56.770728,25.605498,Kreis?,P79,,Kokneses novads,Iršu pagasts,
Eisaki ,10200,8393,56.054215,27.400523,Lab?,V614,,Dagdas novads,Konstantinovas pagasts,
Aglonas pagrieziens,10207,8399,56.117365,27.475167,Kreis?,P60,,Dagdas novads,Dagdas pagasts,
Dagdas skola,10210,8401,56.097462,27.533893,Lab?,,Mi?urina iela,Dagdas novads,Dagdas pils?ta,
Dagdas skola,10211,8401,56.097492,27.534007,Kreis?,,Mi?urina iela,Dagdas novads,Dagdas pils?ta,
Slesari,10214,8404,56.17276,27.444302,Kreis?,V615,,Dagdas novads,Andrupenes pagasts,
Auce,9011,7070,56.4647665,22.8934756,Lab?,,Rai?a iela,Auces novads,Auces pils?ta,
Auce,9012,7070,56.4647934,22.8936966,Kreis?,,Rai?a iela,Auces novads,Auces pils?ta,
Baldiešu ferma,9018,7073,57.498962,25.15922,Kreis?,,,Koc?nu novads,Koc?nu pagasts,
J?kabpils DUS,9019,7074,56.501935,25.883393,Lab?,,R?gas iela,J?kabpils,,
J?kabpils DUS,9020,7074,56.502042,25.882845,Kreis?,,R?gas iela,J?kabpils,,
Vi??nu AO,9029,7085,56.552637,26.921813,A/V,,R?gas iela,Vi??nu novads,Vi??nu pils?ta,
Lielgabalu iela,9979,8035,57.24957,22.57921,Kreis?,,Lielgabalu iela,Talsu novads,Talsu pils?ta,
Krogzemji,9983,8041,56.432448,21.442343,Kreis?,V1216,,Priekules novads,Virgas pagasts,
Kalte,9288,7301,56.311323,24.203908,Lab?,,,Bauskas novads,Gail?šu pagasts,
Kalte,9289,7301,56.311337,24.202385,Kreis?,,,Bauskas novads,Gail?šu pagasts,
M?rmuiža,9299,7310,57.47518,25.489145,Lab?,V187,,Bever?nas novads,Kauguru pagasts,
Silavas,9302,7314,57.833908,25.22354,Lab?,V171,,Mazsalacas novads,S??u pagasts,
Kalnaliepas,10735,9128,57.008277,25.051837,Kreis?,V60,,R?gas rajons,M?lpils novads,
V?veri,10737,9130,56.965283,25.043552,Kreis?,V73,,R?gas rajons,M?lpils novads,
Vite,10738,9131,56.963533,24.989688,Kreis?,V73,,R?gas rajons,M?lpils novads,
Brici,10746,9147,57.3569749,27.4193164,Lab?,,,Al?ksnes novads,Liepnas pagasts,
Griepciema pagrieziens,9930,7961,57.07882,22.691013,Lab?,V1433,,Kandavas novads,Kandavas pagasts,
Vecs?ti,9933,7965,56.925447,22.949194,Lab?,V1452,,Tukuma novads,Jauns?tu pagasts,
M?lkalnu pagrieziens,9940,7973,56.617582,25.808489,Kreis?,A6,,P?avi?u novads,Aiviekstes pagasts,
Rumbula,191,114,56.882046,24.246292,Kreis?,,Maskavas iela,R?ga,,
Eleja,385,359,56.417126,23.683617,Lab?,A8,,Jelgavas novads,Elejas pagasts,
S??u punkts,3296,2497,56.494198,25.304405,Kreis?,V956,,Jaunjelgavas novads,Seces pagasts,
Roznieki,9985,8044,56.987544,26.823883,Kreis?,V842,,Lub?nas novads,Indr?nu pagasts,
V?dale,9989,8049,57.606893,22.447707,Lab?,V1381,,Dundagas novads,Dundagas pagasts,
R?va,10000,8082,56.907633,21.400022,Kreis?,,,P?vilostas novads,Sakas pagasts,
D?rzi?i,10069,8254,56.87086,24.272942,Kreis?,,Maskavas iela,R?ga,,
Za?i,10071,8258,56.4018446,24.1410974,Kreis?,V1034,,Rund?les novads,Rund?les pagasts,
Madonas pagrieziens,10085,8278,56.618317,25.776363,Kreis?,P37,,P?avi?u novads,Aiviekstes pagasts,
Robežnieki,1374,1119,55.975668,27.603935,Kreis?,V626,,Kr?slavas novads,Robežnieku pagasts,
Stoli,1398,1139,55.99072,27.370782,Lab?,V632,,Kr?slavas novads,Skaistas pagasts,
Linu fabrika,1421,1154,56.51376,27.374888,Kreis?,,Zilupes iela,R?zekne,,
Oksle,9972,8027,57.125906,22.825333,A/V,V1431,,Kandavas novads,C?res pagasts,
Branti,9976,8032,56.918546,26.773623,Kreis?,V842,,Lub?nas novads,Indr?nu pagasts,
Dienvidu elektrot?kli,9980,8037,57.233398,22.58771,Kreis?,P129,,Talsu novads,Talsu pils?ta,
L??agals,9984,8043,56.953071,26.814892,Kreis?,V842,,Lub?nas novads,Indr?nu pagasts,
Str??i,1739,1340,56.42072,23.056708,Kreis?,V1113,,Auces novads,B?nes pagasts,
Kl?nu pagrieziens,1809,1426,56.457805,23.268377,Lab?,V1122,,T?rvetes novads,T?rvetes pagasts,
Br?veri,1439,1164,56.047762,27.04715,Lab?,V641,,Aglonas novads,Š?eltovas pagasts,
Mati?i,1450,1171,56.011915,27.223935,Kreis?,V642,,Kr?slavas novads,Kombu?u pagasts,
Ezergals,1456,1174,56.050988,27.244385,Kreis?,V642,,Kr?slavas novads,Aulejas pagasts,
Belogrudova,1471,1184,56.040977,27.08429,Lab?,V676,,Aglonas novads,Gr?veru pagasts,
Smiltnieki,1737,1339,56.442385,23.059108,Kreis?,V1113,,Auces novads,B?nes pagasts,
Balti?i,9726,7709,56.81242,23.348848,Kreis?,V1450,,Tukuma novads,Dž?kstes pagasts,
R?tenas,9728,7710,56.809057,23.33152,Kreis?,V1450,,Tukuma novads,Dž?kstes pagasts,
Jaunzemi,9752,7734,56.778005,23.279603,Kreis?,V1451,,Tukuma novads,Dž?kstes pagasts,
Aizdzire,9760,7756,57.004073,22.705265,Lab?,,,Kandavas novads,Kandavas pagasts,
K?p?t?ji,9762,7757,57.014655,22.657148,Lab?,,,Kandavas novads,Kandavas pagasts,
L?ši,9770,7765,56.785583,23.213722,Kreis?,V1450,,Tukuma novads,Lestenes pagasts,
Kalncempju pagrieziens,9773,7774,57.3155479,26.9220771,Lab?,V388,,Al?ksnes novads,Annas pagasts,
Lielplatones muiža,9776,9299,56.45085,23.65909,A/V,,,Jelgavas novads,Lielplatones pagasts,
Borisovka,1282,1054,56.000187,27.676682,Lab?,V606,,Dagdas novads,As?nes pagasts,
Biža,1294,1062,56.156828,27.364505,Lab?,V610,,Dagdas novads,Andrupenes pagasts,
Užaniški,1317,1076,56.103853,27.263878,Lab?,V610,,Dagdas novads,Andrupenes pagasts,
Aglonas pagrieziens,10206,8399,56.117973,27.47432,Lab?,P60,,Dagdas novads,Dagdas pagasts,
K??i,11540,3613,56.80291,23.138863,Lab?,V1101,,Tukuma novads,Lestenes pagasts,
Valeikas,11541,3619,56.878663,23.145985,Lab?,V1101,,Tukuma novads,Degoles pagasts,
Romi,11542,3632,56.827707,22.961377,Lab?,V1153,,Tukuma novads,Irlavas pagasts,
Rumbenieki,11543,3643,56.885737,22.554881,Kreis?,V1430,,Kandavas novads,V?nes pagasts,
Liesmas,11550,3719,56.714325,23.042793,Lab?,V1457,,Jaunpils novads,Jaunpils pagasts,
Okšas,11553,3762,57.6226053,25.5391113,Kreis?,V232,,Burtnieku novads,Valmieras pagasts,
Vidzemes,12335,8628,56.618548,25.739578,Lab?,A6,,P?avi?u novads,Aiviekstes pagasts,
Kozori,7621,5869,56.509772,27.233705,Kreis?,P.c.,,R?zeknes novads,Ozolmuižas pagasts,
Kaunata,7622,5870,56.331775,27.545825,Kreis?,V579,,R?zeknes novads,Kaunatas pagasts,
P?dn?ki,7644,5894,56.335017,27.032797,Lab?,V591,,R?zeknes novads,Feima?u pagasts,
Vi??nu  stacija,9574,7537,56.560607,26.93855,A/V,,Jersikas iela,Vi??nu novads,Vi??nu pils?ta,
Slesari,10213,8404,56.172735,27.444307,Lab?,V615,,Dagdas novads,Andrupenes pagasts,
Grabova,10215,8405,56.17732,27.433928,Kreis?,V615,,Dagdas novads,Andrupenes pagasts,
Liepkalni,10219,8414,56.785292,23.225995,Kreis?,V1450,,Tukuma novads,Dž?kstes pagasts,
Celtnieks,10221,8416,55.821138,26.475555,Kreis?,V695,,Daugavpils novads,Kalk?nes pagasts,
Mirnijs,10224,8421,55.822955,26.59076,Lab?,P.c.,,Daugavpils novads,Laucesas pagasts,
Kauguri,10272,8495,56.646093,21.372702,Kreis?,V1201,,Durbes novads,Dunalkas pagasts,
Vecais pagasts,10284,8519,56.85713,22.230997,Lab?,V1297,,Kuld?gas novads,V?rmes pagasts,
Plesnova,10290,8524,55.984598,27.741322,Lab?,V606,,Dagdas novads,?epovas pagasts,
